Using defaults initial nominal = 100.0, noise = 5.0
For other settings use java Simulation <nom> <noise>
 100.00 (100.0):  0.0
  84.22 ( 81.0):  3.2
  83.49 ( 80.0):  3.5
  77.14 ( 79.0): -1.9
  84.51 ( 80.0):  4.5
  78.15 ( 79.0): -0.9
  77.44 ( 78.0): -0.6
  78.81 ( 77.0):  1.8
  74.86 ( 76.0): -1.1
  78.48 ( 77.0):  1.5
  81.85 ( 78.0):  3.9
  76.77 ( 77.0): -0.2
  74.08 ( 76.0): -1.9
  77.98 ( 77.0):  1.0
  72.65 ( 76.0): -3.4
  78.05 ( 75.0):  3.0
  71.80 ( 74.0): -2.2
  76.40 ( 75.0):  1.4
  75.01 ( 74.0):  1.0
  78.41 ( 75.0):  3.4
  76.61 ( 76.0):  0.6
  77.12 ( 77.0):  0.1
  83.68 ( 78.0):  5.7
  70.44 ( 77.0): -6.6
  77.74 ( 78.0): -0.3
  71.90 ( 77.0): -5.1
  76.79 ( 78.0): -1.2
  71.90 ( 77.0): -5.1
  74.75 ( 76.0): -1.3
  74.34 ( 75.0): -0.7
  70.65 ( 76.0): -5.3
  80.03 ( 75.0):  5.0
  77.92 ( 74.0):  3.9
  75.06 ( 75.0):  0.1
  75.40 ( 74.0):  1.4
  73.29 ( 73.0):  0.3
  66.57 ( 74.0): -7.4
  74.26 ( 73.0):  1.3
  68.16 ( 74.0): -5.8
  73.37 ( 75.0): -1.6
  71.24 ( 74.0): -2.8
  79.11 ( 75.0):  4.1
  75.97 ( 74.0):  2.0
  69.29 ( 75.0): -5.7
  66.89 ( 74.0): -7.1
  71.26 ( 73.0): -1.7
  75.12 ( 72.0):  3.1
  66.20 ( 71.0): -4.8
  74.54 ( 72.0):  2.5
  68.36 ( 71.0): -2.6
  73.35 ( 70.0):  3.4
  70.86 ( 69.0):  1.9
  71.30 ( 70.0):  1.3
  70.71 ( 69.0):  1.7
  71.31 ( 68.0):  3.3
  69.35 ( 67.0):  2.3
  68.92 ( 68.0):  0.9
  67.15 ( 69.0): -1.8
  73.57 ( 70.0):  3.6
  68.86 ( 71.0): -2.1
  72.30 ( 70.0):  2.3
  68.04 ( 71.0): -3.0
  68.75 ( 70.0): -1.3
  69.69 ( 69.0):  0.7
  67.33 ( 70.0): -2.7
  69.32 ( 71.0): -1.7
  73.50 ( 72.0):  1.5
  68.93 ( 73.0): -4.1
  68.27 ( 74.0): -5.7
  76.49 ( 75.0):  1.5
  72.75 ( 76.0): -3.2
  76.97 ( 77.0): -0.0
  72.70 ( 76.0): -3.3
  76.23 ( 75.0):  1.2
  75.01 ( 74.0):  1.0
  76.76 ( 73.0):  3.8
  73.59 ( 72.0):  1.6
  64.40 ( 71.0): -6.6
  69.30 ( 72.0): -2.7
  64.19 ( 71.0): -6.8
  70.39 ( 70.0):  0.4
  79.42 ( 71.0):  8.4
  76.81 ( 72.0):  4.8
  73.55 ( 73.0):  0.5
  72.95 ( 74.0): -1.0
  72.00 ( 75.0): -3.0
  82.23 ( 74.0):  8.2
  75.32 ( 73.0):  2.3
  69.81 ( 72.0): -2.2
  70.73 ( 73.0): -2.3
  70.15 ( 72.0): -1.9
  69.01 ( 73.0): -4.0
  76.84 ( 74.0):  2.8
  73.41 ( 73.0):  0.4
  71.87 ( 72.0): -0.1
  73.81 ( 71.0):  2.8
  66.61 ( 70.0): -3.4
  70.16 ( 69.0):  1.2
  60.12 ( 68.0): -7.9
  67.09 ( 69.0): -1.9
  64.25 ( 68.0): -3.8
  65.87 ( 67.0): -1.1
 109.34 ( 66.0): 43.3
 110.50 ( 65.0): 45.5
 109.22 ( 66.0): 43.2
 111.36 ( 67.0): 44.4
 112.05 ( 66.0): 46.0
 112.12 ( 65.0): 47.1
 111.01 ( 66.0): 45.0
 111.89 ( 67.0): 44.9
 113.18 ( 68.0): 45.2
 108.25 ( 69.0): 39.2
 114.87 ( 70.0): 44.9
 111.23 ( 69.0): 42.2
 111.57 ( 70.0): 41.6
 113.10 ( 71.0): 42.1
 116.14 ( 72.0): 44.1
 116.35 ( 73.0): 43.4
 114.54 ( 72.0): 42.5
 116.63 ( 73.0): 43.6
 114.29 ( 72.0): 42.3
 112.12 ( 71.0): 41.1
 113.39 ( 70.0): 43.4
 113.19 ( 71.0): 42.2
 115.32 ( 72.0): 43.3
 115.25 ( 71.0): 44.3
 114.44 ( 72.0): 42.4
 114.20 ( 71.0): 43.2
 111.68 ( 72.0): 39.7
 116.28 ( 71.0): 45.3
 112.26 ( 70.0): 42.3
 114.08 ( 71.0): 43.1
 114.81 ( 72.0): 42.8
 113.22 ( 73.0): 40.2
 112.61 ( 72.0): 40.6
 116.66 ( 73.0): 43.7
 116.25 ( 74.0): 42.2
  75.50 ( 73.0):  2.5
  73.46 ( 74.0): -0.5
  78.41 ( 73.0):  5.4
  77.59 ( 74.0):  3.6
  74.00 ( 75.0): -1.0
 117.63 ( 74.0): 43.6
 119.51 ( 73.0): 46.5
 111.93 ( 74.0): 37.9
  77.08 ( 75.0):  2.1
  72.15 ( 74.0): -1.8
  76.38 ( 73.0):  3.4
  70.08 ( 74.0): -3.9
  67.01 ( 73.0): -6.0
  73.74 ( 72.0):  1.7
  73.76 ( 73.0):  0.8
  72.80 ( 72.0):  0.8
  71.26 ( 71.0):  0.3
 117.45 ( 70.0): 47.4
 114.76 ( 69.0): 45.8
  72.03 ( 70.0):  2.0
  72.06 ( 71.0):  1.1
  63.94 ( 70.0): -6.1
  69.32 ( 69.0):  0.3
  70.13 ( 68.0):  2.1
  66.89 ( 67.0): -0.1
  66.13 ( 66.0):  0.1
  72.20 ( 67.0):  5.2
  64.69 ( 66.0): -1.3
  67.16 ( 67.0):  0.2
  64.43 ( 66.0): -1.6
  71.22 ( 67.0):  4.2
  64.26 ( 66.0): -1.7
  65.91 ( 65.0):  0.9
  65.94 ( 64.0):  1.9
  66.75 ( 65.0):  1.8
  63.13 ( 66.0): -2.9
  66.52 ( 67.0): -0.5
  72.86 ( 66.0):  6.9
 109.02 ( 67.0): 42.0
 108.23 ( 66.0): 42.2
 110.43 ( 67.0): 43.4
 110.73 ( 68.0): 42.7
 112.53 ( 69.0): 43.5
 114.42 ( 70.0): 44.4
 113.66 ( 71.0): 42.7
 109.92 ( 70.0): 39.9
 116.93 ( 69.0): 47.9
 112.14 ( 68.0): 44.1
  69.37 ( 67.0):  2.4
  74.04 ( 68.0):  6.0
  71.26 ( 67.0):  4.3
  69.94 ( 68.0):  1.9
  65.69 ( 67.0): -1.3
  67.42 ( 66.0):  1.4
  66.79 ( 67.0): -0.2
  61.30 ( 66.0): -4.7
  70.82 ( 67.0):  3.8
  63.53 ( 68.0): -4.5
  65.55 ( 67.0): -1.5
  69.00 ( 68.0):  1.0
  67.21 ( 67.0):  0.2
  69.59 ( 66.0):  3.6
  72.77 ( 67.0):  5.8
  61.43 ( 66.0): -4.6
  65.24 ( 65.0):  0.2
  62.16 ( 64.0): -1.8
  63.04 ( 63.0):  0.0
  61.27 ( 62.0): -0.7
  63.64 ( 61.0):  2.6
  58.70 ( 60.0): -1.3
  55.46 ( 59.0): -3.5
  57.57 ( 60.0): -2.4
  54.13 ( 61.0): -6.9
  68.20 ( 62.0):  6.2
  59.31 ( 61.0): -1.7
  58.12 ( 62.0): -3.9
  63.24 ( 61.0):  2.2
  68.20 ( 62.0):  6.2
  63.51 ( 63.0):  0.5
  65.07 ( 64.0):  1.1
  62.18 ( 63.0): -0.8
  64.54 ( 62.0):  2.5
  61.82 ( 63.0): -1.2
  66.62 ( 64.0):  2.6
 108.88 ( 63.0): 45.9
 106.39 ( 64.0): 42.4
 111.48 ( 63.0): 48.5
 110.27 ( 64.0): 46.3
  59.94 ( 63.0): -3.1
  65.84 ( 62.0):  3.8
  60.39 ( 63.0): -2.6
  66.03 ( 62.0):  4.0
  51.63 ( 61.0): -9.4
  59.80 ( 62.0): -2.2
 111.38 ( 63.0): 48.4
 109.66 ( 64.0): 45.7
  63.10 ( 63.0):  0.1
  64.24 ( 64.0):  0.2
  68.06 ( 63.0):  5.1
  61.79 ( 62.0): -0.2
  67.03 ( 61.0):  6.0
  59.04 ( 60.0): -1.0
  63.36 ( 59.0):  4.4
  57.77 ( 58.0): -0.2
  65.96 ( 57.0):  9.0
  57.46 ( 56.0):  1.5
  56.57 ( 55.0):  1.6
  55.85 ( 56.0): -0.1
  53.25 ( 55.0): -1.7
  59.44 ( 54.0):  5.4
  52.72 ( 53.0): -0.3
  54.09 ( 52.0):  2.1
  52.95 ( 51.0):  2.0
  50.01 ( 50.0):  0.0
  50.67 ( 51.0): -0.3
  50.86 ( 50.0):  0.9
  47.74 ( 49.0): -1.3
  45.93 ( 48.0): -2.1
  49.74 ( 47.0):  2.7
  51.13 ( 48.0):  3.1
  43.70 ( 47.0): -3.3
  44.53 ( 46.0): -1.5
  40.84 ( 45.0): -4.2
  47.89 ( 46.0):  1.9
  42.67 ( 47.0): -4.3
  49.30 ( 48.0):  1.3
  45.68 ( 47.0): -1.3
  48.78 ( 46.0):  2.8
  44.92 ( 45.0): -0.1
  45.70 ( 46.0): -0.3
  96.92 ( 47.0): 49.9
  97.29 ( 46.0): 51.3
  51.99 ( 47.0):  5.0
  43.97 ( 46.0): -2.0
  45.24 ( 45.0):  0.2
  50.49 ( 46.0):  4.5
  51.75 ( 47.0):  4.7
  51.64 ( 46.0):  5.6
  46.94 ( 47.0): -0.1
  48.38 ( 48.0):  0.4
  49.86 ( 47.0):  2.9
  44.55 ( 46.0): -1.5
  50.06 ( 47.0):  3.1
  43.17 ( 46.0): -2.8
  43.43 ( 45.0): -1.6
  40.40 ( 46.0): -5.6
  46.41 ( 47.0): -0.6
  47.02 ( 46.0):  1.0
  41.79 ( 47.0): -5.2
  39.57 ( 46.0): -6.4
  48.01 ( 45.0):  3.0
  47.09 ( 46.0):  1.1
  50.50 ( 47.0):  3.5
  51.37 ( 48.0):  3.4
  51.53 ( 49.0):  2.5
  44.36 ( 48.0): -3.6
  47.58 ( 47.0):  0.6
  41.38 ( 46.0): -4.6
  46.88 ( 45.0):  1.9
  46.72 ( 44.0):  2.7
  46.80 ( 45.0):  1.8
  39.95 ( 46.0): -6.0
  46.29 ( 47.0): -0.7
  47.37 ( 46.0):  1.4
  43.60 ( 45.0): -1.4
  47.79 ( 44.0):  3.8
  44.23 ( 45.0): -0.8
  47.72 ( 46.0):  1.7
  47.01 ( 45.0):  2.0
  44.33 ( 44.0):  0.3
  45.78 ( 43.0):  2.8
  40.70 ( 42.0): -1.3
  42.93 ( 43.0): -0.1
  46.26 ( 42.0):  4.3
  39.71 ( 41.0): -1.3
  41.95 ( 40.0):  2.0
  42.00 ( 41.0):  1.0
  48.06 ( 40.0):  8.1
  38.85 ( 39.0): -0.2
  42.22 ( 40.0):  2.2
  41.18 ( 39.0):  2.2
  39.24 ( 38.0):  1.2
  40.03 ( 39.0):  1.0
  36.43 ( 40.0): -3.6
  40.79 ( 41.0): -0.2
  43.19 ( 42.0):  1.2
  44.61 ( 41.0):  3.6
  38.59 ( 40.0): -1.4
  38.39 ( 39.0): -0.6
  37.47 ( 38.0): -0.5
  40.59 ( 39.0):  1.6
  38.85 ( 40.0): -1.2
  36.00 ( 39.0): -3.0
  39.90 ( 38.0):  1.9
  90.31 ( 39.0): 51.3
  94.07 ( 38.0): 56.1
  92.91 ( 39.0): 53.9
  93.10 ( 38.0): 55.1
  82.92 ( 37.0): 45.9
  96.66 ( 38.0): 58.7
  90.40 ( 37.0): 53.4
  87.06 ( 36.0): 51.1
  92.49 ( 35.0): 57.5
  91.55 ( 34.0): 57.6
  86.88 ( 33.0): 53.9
  91.55 ( 34.0): 57.6
  87.77 ( 35.0): 52.8
  89.69 ( 34.0): 55.7
  89.60 ( 35.0): 54.6
  88.55 ( 36.0): 52.6
  90.97 ( 37.0): 54.0
  88.89 ( 36.0): 52.9
  89.51 ( 37.0): 52.5
  92.48 ( 38.0): 54.5
  95.44 ( 39.0): 56.4
  95.58 ( 40.0): 55.6
  93.88 ( 39.0): 54.9
  91.51 ( 38.0): 53.5
  36.78 ( 37.0): -0.2
  35.33 ( 38.0): -2.7
  36.29 ( 39.0): -2.7
  36.39 ( 38.0): -1.6
  41.87 ( 39.0):  2.9
  32.54 ( 38.0): -5.5
  37.99 ( 39.0): -1.0
  90.70 ( 38.0): 52.7
  90.83 ( 37.0): 53.8
  37.74 ( 36.0):  1.7
  91.24 ( 35.0): 56.2
  91.77 ( 34.0): 57.8
  29.55 ( 35.0): -5.4
  34.76 ( 36.0): -1.2
  36.49 ( 35.0):  1.5
  38.16 ( 36.0):  2.2
  35.81 ( 35.0):  0.8
  34.70 ( 36.0): -1.3
  37.17 ( 37.0):  0.2
  42.48 ( 38.0):  4.5
  37.51 ( 37.0):  0.5
  34.08 ( 38.0): -3.9
  37.83 ( 37.0):  0.8
  38.39 ( 38.0):  0.4
  39.20 ( 39.0):  0.2
  37.98 ( 38.0): -0.0
  39.48 ( 39.0):  0.5
  41.34 ( 40.0):  1.3
  40.45 ( 41.0): -0.6
  38.39 ( 40.0): -1.6
  39.81 ( 39.0):  0.8
  38.31 ( 38.0):  0.3
  41.34 ( 39.0):  2.3
  91.09 ( 38.0): 53.1
  92.80 ( 39.0): 53.8
  91.17 ( 40.0): 51.2
  91.77 ( 41.0): 50.8
  91.36 ( 40.0): 51.4
  93.18 ( 41.0): 52.2
  89.01 ( 40.0): 49.0
  89.71 ( 39.0): 50.7
  92.80 ( 38.0): 54.8
  36.14 ( 37.0): -0.9
  32.70 ( 38.0): -5.3
  36.69 ( 37.0): -0.3
  35.00 ( 36.0): -1.0
  40.53 ( 37.0):  3.5
  38.42 ( 36.0):  2.4
  39.06 ( 37.0):  2.1
  36.67 ( 36.0):  0.7
  35.94 ( 37.0): -1.1
  36.43 ( 38.0): -1.6
  41.59 ( 39.0):  2.6
  42.98 ( 40.0):  3.0
  41.24 ( 41.0):  0.2
  46.55 ( 42.0):  4.6
  41.69 ( 41.0):  0.7
  43.98 ( 40.0):  4.0
  39.73 ( 39.0):  0.7
  43.16 ( 38.0):  5.2
  41.59 ( 39.0):  2.6
  30.94 ( 38.0): -7.1
  39.82 ( 37.0):  2.8
  36.87 ( 36.0):  0.9
  33.56 ( 35.0): -1.4
  37.05 ( 36.0):  1.0
  30.85 ( 35.0): -4.2
  36.31 ( 36.0):  0.3
  36.90 ( 35.0):  1.9
  34.40 ( 34.0):  0.4
  33.99 ( 35.0): -1.0
  34.33 ( 34.0):  0.3
  32.47 ( 33.0): -0.5
  37.17 ( 34.0):  3.2
  35.71 ( 33.0):  2.7
  34.73 ( 32.0):  2.7
  31.53 ( 31.0):  0.5
  31.08 ( 32.0): -0.9
  38.31 ( 33.0):  5.3
  38.78 ( 34.0):  4.8
  31.47 ( 33.0): -1.5
  35.16 ( 34.0):  1.2
  31.86 ( 35.0): -3.1
  34.73 ( 36.0): -1.3
  93.77 ( 37.0): 56.8
  90.80 ( 36.0): 54.8
  89.94 ( 35.0): 54.9
  90.22 ( 36.0): 54.2
  89.21 ( 37.0): 52.2
  90.30 ( 38.0): 52.3
  92.56 ( 39.0): 53.6
  95.76 ( 40.0): 55.8
  89.84 ( 39.0): 50.8
  90.06 ( 38.0): 52.1
  91.46 ( 39.0): 52.5
  91.92 ( 38.0): 53.9
  89.41 ( 39.0): 50.4
  91.01 ( 40.0): 51.0
  89.20 ( 39.0): 50.2
  96.27 ( 38.0): 58.3
  86.49 ( 39.0): 47.5
  90.33 ( 40.0): 50.3
  93.79 ( 39.0): 54.8
  35.64 ( 38.0): -2.4
  34.93 ( 37.0): -2.1
  37.29 ( 38.0): -0.7
  40.71 ( 37.0):  3.7
  35.33 ( 36.0): -0.7
  36.33 ( 35.0):  1.3
  40.86 ( 36.0):  4.9
  39.60 ( 37.0):  2.6
  34.27 ( 36.0): -1.7
  94.23 ( 37.0): 57.2
  89.26 ( 36.0): 53.3
  85.53 ( 35.0): 50.5
